id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
262,26,GO,Goiânia,Parque Amazônia ,Feminino,MPB,Bebo Socialmente,Não,Não,Diariamente,30,45,Tanto Faz,Não,Não,Equilíbrio material/espiritual,2025-04-01 10:25:21
263,28,GO,Goiânia,Bueno ,Feminino,Rock,Bebo Socialmente,Não,Sim,3x por semana,35,50,Não,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 10:27:17
264,23,GO,Goiânia,Vila Brasília ,Masculino,Rock,Não Bebo,Não,Não,Diariamente,18,60,Tanto Faz,Não,Não,Experiências e viagens,2025-04-01 10:28:15
265,30,GO,Goiânia,Setor Negrão de Lima ,Feminino,Pop,Não Bebo,Não,Não,Diariamente,28,40,Sim,Não,Não,Experiências e viagens,2025-04-01 10:29:16
266,38,GO,Aparecida de Goiânia,Chácara são Pedro ,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,35,50,Não,Não,Não,Riqueza espiritual,2025-04-01 10:36:04
267,38,GO,Goiânia,Progresso ,Feminino,Rock,Nos Finais de Semana,Não,Não,3x por semana,37,45,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 10:39:59
268,41,GO,Goiânia,São José ,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,3x por semana,30,55,Sim,Não,Não,Vida simples com família,2025-04-01 10:50:26
269,30,GO,Goiânia,Negrão de Lima ,Feminino,Pop,Não Bebo,Não,Não,Diariamente,28,40,Sim,Não,Não,Experiências e viagens,2025-04-01 10:58:20
270,44,GO,Goiânia,Vila Rosa,Feminino,Rock,Nos Finais de Semana,Sim,Sim,Diariamente,36,56,Não,Não,Não,Vida simples com família,2025-04-01 11:03:04
272,30,GO,Goiânia,Jd. Guanabara ,Feminino,Pop,Não Bebo,Não,Sim,Diariamente,28,37,Tanto Faz,Tanto Faz,Não,Vida simples com família,2025-04-01 11:09:46
273,40,GO,Anápolis,VILA MIGUEL JORGE,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,26,42,Não,Não,Não,Riqueza espiritual,2025-04-01 11:19:03
274,35,GO,Goiânia,Balneário ,Feminino,MPB,Nos Finais de Semana,Não,Não,1x por semana,30,55,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 11:23:09
275,25,GO,Goiânia,Recanto do Bosque ,Feminino,Rock,Nos Finais de Semana,Não,Não,Diariamente,23,30,Sim,Não,Sim,Vida simples com família,2025-04-01 11:25:24
276,39,GO,Goiânia,Negrão de Lima ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,38,45,Não,Não,Não,Vida simples com família,2025-04-01 11:26:35
278,31,GO,Goiânia,Setor Bela Vista ,Feminino,Pagode,Bebo Socialmente,Não,Não,Diariamente,29,37,Não,Tanto Faz,Não,Vida simples com família,2025-04-01 11:29:44
280,33,GO,Goiânia,Jardim América ,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,3x por semana,30,42,Não,Não,Não,Riqueza espiritual,2025-04-01 11:46:19
282,28,GO,Goiânia,Vila nova ,Feminino,MPB,Bebo Socialmente,Sim,Não,3x por semana,24,37,Não,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 11:54:21
